id,id,name,distance,mass,radius
247,247,2MASS J22373255+3922398,64.0,0.069684924,0.10687352
248,248,2MASSW J2244316+204343,56.0,0.011455056,0.13256426999999998
249,249,2MASS J23224684-3133231,56.0,0.022910112,0.14284056999999997
250,250,2MASS J23225299-6151275,148.0,0.016227996,0.16339317
251,251,2MASS J23515044-2537367,67.0,0.084003744,0.11920507999999998
252,252,2MASSI J2356547-155310,74.0,0.07636704,0.11201167000000001
290,290,WISE 0410+1502,20.0,0.005727528,0.12023270999999998
294,294,WISE 0458+6434A,35.9,0.014318820000000001,0.4316046
295,295,WISE 0458+6434B,35.9,0.00954588,0.39049939999999994
349,349,WISE 1405+5534,25.3,0.028637640000000002,0.08837618
417,417,L 34-26,35.6,0.001909176,0.6474068999999999
